Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/sandostatin/consumer/placeholderurl/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000,1,d001,t001,m001
,/_sites/sandostatin/consumer/placeholderurl/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,001a,d001a,t001a,m001a
,/_sites/sandostatin/consumer/placeholderurl/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,001b,d001b,t001b,m001b
,/_sites/sandostatin/consumer/placeholderurl/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,001c,d001c,t001c,m001c
,/_sites/sandostatin/consumer/placeholderurl/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,001d,d001d,t001d,m001d
,/_sites/sandostatin/consumer/placeholderurl/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&headerAccordion=1&wait=4000,001e,DNT,DNT,m001e
,/_sites/sandostatin/consumer/placeholderurl/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,2,d002,t002,m002
,/_sites/sandostatin/consumer/placeholderurl/about-carcinoid-syndrome/understanding-carcinoid-syndrome/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,3,d003,t003,m003
,/_sites/sandostatin/consumer/placeholderurl/about-sandostatin/what-is-sandostatin/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,4,d004,t004,m004
,/_sites/sandostatin/consumer/placeholderurl/about-sandostatin/how-sandostatin-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,5,d005,t005,m005
